Thu 14 Dec 2023 14:01:26: Opened File
Thu 14 Dec 2023 14:01:27: ==New Motion Triggered==
	Time(ms)	Position	Speed	Force	Power	Voltage	Errors
Thu 14 Dec 2023 14:01:27: 	37.537998	66937	369	15402	1	24299	0
Thu 14 Dec 2023 14:01:27: 	38.051998	67166	391	13033	1	24299	0
Thu 14 Dec 2023 14:01:27: 	38.527000	67423	408	11427	0	24299	0
Thu 14 Dec 2023 14:01:27: 	38.981998	67708	422	8804	0	24299	0
Thu 14 Dec 2023 14:01:27: 	39.514999	67932	430	6950	0	24299	0
Thu 14 Dec 2023 14:01:27: 	39.987000	68218	444	4632	0	24299	0
Thu 14 Dec 2023 14:01:27: 	40.465000	68422	451	2894	0	24344	0
Thu 14 Dec 2023 14:01:27: 	40.948002	68696	455	-135	0	24344	0
Thu 14 Dec 2023 14:01:27: 	41.459999	68989	467	-2920	0	24344	0
Thu 14 Dec 2023 14:01:27: 	41.900002	69219	467	-5368	0	24344	0
Thu 14 Dec 2023 14:01:27: 	42.313000	69416	472	-7378	0	24344	0
Thu 14 Dec 2023 14:01:27: 	42.708000	69652	476	-10160	1	24344	0
Thu 14 Dec 2023 14:01:27: 	43.230999	69817	471	-12661	1	24344	0
Thu 14 Dec 2023 14:01:27: 	43.683998	70014	472	-14560	1	24344	0
Thu 14 Dec 2023 14:01:27: 	44.104000	70234	474	-17063	1	24344	0
Thu 14 Dec 2023 14:01:27: 	45.205002	70421	473	-19361	2	24398	0
Thu 14 Dec 2023 14:01:27: 	45.643002	70856	460	-24170	2	24398	0
Thu 14 Dec 2023 14:01:27: 	46.013000	70999	456	-25578	3	24398	0
Thu 14 Dec 2023 14:01:27: 	46.558998	71182	452	-27231	3	24398	0
Thu 14 Dec 2023 14:01:27: 	46.938999	71319	442	-29107	4	24398	0
Thu 14 Dec 2023 14:01:27: 	47.523998	71440	432	-30374	4	24398	0
Thu 14 Dec 2023 14:01:27: 	47.966999	71601	421	-32117	4	24398	0
Thu 14 Dec 2023 14:01:27: 	48.451000	71707	410	-33292	4	24317	0
Thu 14 Dec 2023 14:01:27: 	48.853001	71845	400	-34527	4	24317	0
Thu 14 Dec 2023 14:01:27: 	49.319000	71916	382	-30800	3	24317	0
Thu 14 Dec 2023 14:01:27: 	49.775002	72028	372	-34392	4	24317	0
Thu 14 Dec 2023 14:01:27: 	50.287998	72101	358	-30998	4	24317	0
Thu 14 Dec 2023 14:01:27: 	50.758999	72153	339	-33816	6	24317	0
Thu 14 Dec 2023 14:01:27: 	51.171001	72221	330	-37096	6	24317	0
Thu 14 Dec 2023 14:01:27: 	51.618000	72305	319	-39717	7	24317	0
Thu 14 Dec 2023 14:01:27: 	52.015999	72348	302	-40175	6	24317	0
Thu 14 Dec 2023 14:01:27: 	52.596001	72390	287	-40446	6	24174	0
Thu 14 Dec 2023 14:01:27: 	53.013000	72411	267	-40782	6	24174	0
Thu 14 Dec 2023 14:01:27: 	53.484001	72430	252	-41084	6	24174	0
Thu 14 Dec 2023 14:01:27: 	53.935001	72437	233	-41251	6	24174	0
Thu 14 Dec 2023 14:01:27: 	54.474998	72438	214	-41439	6	24174	0
